indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,500491,464985.0,463521.0,444516.0,394418.0,384760.0,391556.0,386530,374462,366868
Enrolment: Classes VI-VIII,197196,209088.0,219846.0,219303.0,215680.0,218820.0,214474.0,203700,202753,202644
"Enrolment: Classes I-V, Government",-,430472.0,424688.0,400681.0,359009.0,338676.0,340391.0,318032,306400,291870
"Enrolment:Classes4 1V.8I-VIII,Government",-,191244.0,198934.0,200493.0,198844.0,197500.0,194178.0,180927,179466,176247
"Enrolment: Cl2a1s.s2es I-V, Private",-,34513.0,38833.0,43835.0,35409.0,43826.0,44307.0,51889,51666,59178
"Enrolment: Classes VI-VIII, Private",-,17844.0,20912.0,18810.0,16836.0,19415.0,19671.0,22031,22476,25515
% Girls Enrolment:4 P6r.3imary Level,47.7,48.3,48.7,48.7,49.0,49.0,49.0,49.0,49.0,48.9
% Girls Enrolmen3t6: .U2 .Primary Level,48.7,49.1,49.0,49.2,49.1,49.0,48.9,49.0,49.3,49.4
Ratio of Girls Enr.to Boys: Primary,0.91,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96
Ratio of Girls Enr.to Boys: U.Primary,0.95,0.96,0.96,0.97,0.97,0.96,0.96,0.96,0.97,0.97
% SC Enrolment: Classes I-VIII,19.2,19.5,20.0,19.6,19.7,19.5,17.9,18.7,18.8,18.7
% ST Enrolment: C41la.4sses  I-VIII,38.7,39.0,39.6,40.2,39.7,38.5,39.4,38.6,38.5,38.6
% OBC Enrolment: Primary Level,14.9,15.8,15.9,15.5,16.3,16.6,16.1,16.6,16.6,16.6
% OBC Enrolment:U.Primary Level,22.0,22.2,21.9,21.3,20.8,20.1,19.2,19.6,19.3,19.2
% Muslim Enrolme4n4t:. 5Primary Level,-,7.5,7.8,9.2,9.8,11.9,12.9,13.3,13.4,12.8
% Muslim En1r7o.l5ment: U. Primary Level,-,6.7,7.6,9.2,10.1,11.1,10.9,10.7,10.5,10.5
Ratio of Grade V to I,71,81.0,100.0,93.0,95.0,93.0,95.0,-,-,-
Avg. Repetition Rate: Primary Level,15.3,4.7,4.4,2.5,2.9,1.6,0.9,0.7,0.9,0.8
Avg.Repetition Rate: U.Primary Level,-,10.5,9.1,9.3,7.6,0.7,0.3,0.5,0.4,0.9
Avg. Drop-out Rate4: 4P.8rimary Level,4.1,11.7,2.7,8.8,11.9,6.2,1.14,.12.2,3.6,1.3
Retention Rate: Primary Level,-,75.2,73.5,71.5,66.6,70.4,80.7,80.0,92.5,95.3
Transition Rate: Primary to U.Primary,-,84.3,88.7,85.1,84.7,91.0,94.3,92.1,90.2,91.3
