"School Indicators5.6",2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Number of Districts C5o.3vered,4,4,4,4,4,4,8,8,8,8,
"Total Schools11.5",3548,3901,3905,4303,4386,4503,4745,4800,4818,4844,
Total Government Schools,-,3739,3742,4143,4217,4275,4411,4323,4326,4322,
Total Private Schools,-,162,163,160,169,228,274,286,300,335,
Ratio of Primary to U.PrimarySc9h.7./Sec.,2.1,2.2,2.1,2.2,2.1,2.0,2.1,2.1,2.1,2.1,
Primary Sch./Sec.per 1000 Child Popln.,9,11,8,13,15,14,15,14,14,14,
U.Prim. Sch./Sec.per 1000 Child Popln.,7,8,12,9,9,10,10,13,13,14,
"% Single-Teacher Schools with Enr.≥15",1.4,0.8,0.9,1.0,0.8,1.4,1.2,1.7,0.8,0.2,
"% Enrolment in Single-Teacher Schools",0.5,0.4,0.5,0.5,0.4,0.5,0.4,0.6,0.3,0.1,
"% Schools with Enr4o.l8ment ≤ 50",15.5,21.1,21.5,29.5,31.7,34.9,36.1,37.5,39.4,40.5,
"% Schools with Fem4a.7le Teachers",52.5,52.8,53.8,54.2,60.5,61.0,61.7,62.2,63.8,63.8,
