Facility Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,20112-0112,210312-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,38,29,28,27,25,26,26,26,23,23
"% Schools with Drinking Water",73.8,76.9,77.8,79.4,82.4,7250.14,1485.7,84.5,89.0,89.8
"% Schools with Common Toilet",63.8,69.1,70.5,57.7,-,-,-,-,-,-
"% Schools with Boys' Toilet",-,-,-,13.9,19.5,77.7,33.8x,94.2x,100.0x,99.7
"% Schools with Girls' Toilet",18.0,22.6,26.6,42.3,43.4,5210.12,15 86.5x,86.8x,99.4x,99.9
"% Schools with Boundarywall",14.5,15.8,14.8,12.9,13.2,13.8,18.2,16.9,19.7,19.7
"% School with Playground Facility",-,-,-,58.6,62.6,6200.13,1660.2,57.9,61.4,62.0
"% Schools with Ramp",24.0,46.7,50.7,56.0,57.2,56.3,76.2**,48.6**,60.7**,79.4**
"% Schools havining Electricity",-,-,12.6,13.2,14.3,15.8,19.8,23.4,28.6,29.8
"% Schools with Computer",6.9,7.9,8.7,9.0,11.7,11.6,12.7,11.4,15.1,15.7
"% Schools Providing Mid-day Meal*",-,-,-,97.3,98.4,99.4,97.9,99.0,99.2,99.1
