Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),30344,31090,30003,28242,32004,32162,42222,42975,47255,46613
"% Teachers: Government",-,92.2,91.9,92.8,93.0,91.7,88.9,87.4,87.7,86.4
"% Teachers: Private Aided",-,3.4,3.5,1.9,1.7,2.4,3.3,3.2,2.8,2.8
"% Teachers: Private Unaided",-,4.4,4.6,5.2,4.7,5.5,7.3,8.1,8.1,9.4
Pupil-Teacher Ratio: Elementary,23,22,23,24,19,19,14,14,12,12
"% Female Teachers",25.4,24.8,25.1,25.2,26.4,26.9,28.9,29.0,28.9,29.2
"% SC Teachers",-,13.6,13.6,13.9,14.6,14.7,15.0,15.0,15.2,15.2
"% ST Teachers",-,33.4,33.8,37.5,37.1,37.7,32.9,33.0,33.0,33.2
"% OBC Teachers",-,16.5,17.1,16.4,16.8,16.6,17.0,17.1,17.6,17.5
"% Teachers Recieved in-Service Training",21.3,33.6,22.8,33.9,20.1,26.5,19.8,18.1,19.3,20.5
"% Contract Teachers to Total Teachers",3.2,3.0,3.1,2.1,7.1,2.0,-,-,17.7,19.3
