indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),30344,31090.0,30003.0,28242.0,32004.0,32162.0,42222,42975,47255.0,46613.0
% Teachers: Government,-,92.2,91.9,92.8,93.0,91.7,88.9,87.4,87.7,86.4
% Teachers: Private Aided,-,3.4,3.5,1.9,1.7,2.4,3.3,3.2,2.8,2.8
% Teachers: Private Unaided,-,4.4,4.6,5.2,4.7,5.5,7.3,8.1,8.1,9.4
Pupil-Teacher Ratio: Elementary,23,22.0,23.0,24.0,19.0,19.0,14,14,12.0,12.0
% Female Teachers,25.4,24.8,25.1,25.2,26.4,26.9,28.9,29.0,28.9,29.2
% SC Teachers,-,13.6,13.6,13.9,14.6,14.7,15.0,15.0,15.2,15.2
% ST Teachers,-,33.4,33.8,37.5,37.1,37.7,32.9,33.0,33.0,33.2
% OBC Teachers,-,16.5,17.1,16.4,16.8,16.6,17.0,17.1,17.6,17.5
% Teachers Recieved in-Service Training,21.3,33.6,22.8,33.9,20.1,26.5,19.8,18.1,19.3,20.5
% Contract Teachers to Total Teachers,3.2,3.0,3.1,2.1,7.1,2.0,-,-,17.7,19.3
Enrolment: Classes I-V,500491,464985.0,463521.0,444516.0,394418.0,384760.0,391556.0,386530,374462,366868
Enrolment: Classes VI-VIII,197196,209088.0,219846.0,219303.0,215680.0,218820.0,214474.0,203700,202753,202644
"Enrolment: Classes I-V, Government",-,430472.0,424688.0,400681.0,359009.0,338676.0,340391.0,318032,306400,291870
"Enrolment:Classes4 1V.8I-VIII,Government",-,191244.0,198934.0,200493.0,198844.0,197500.0,194178.0,180927,179466,176247
"Enrolment: Cl2a1s.s2es I-V, Private",-,34513.0,38833.0,43835.0,35409.0,43826.0,44307.0,51889,51666,59178
"Enrolment: Classes VI-VIII, Private",-,17844.0,20912.0,18810.0,16836.0,19415.0,19671.0,22031,22476,25515
% Girls Enrolment:4 P6r.3imary Level,47.7,48.3,48.7,48.7,49.0,49.0,49.0,49.0,49.0,48.9
% Girls Enrolmen3t6: .U2 .Primary Level,48.7,49.1,49.0,49.2,49.1,49.0,48.9,49.0,49.3,49.4
Ratio of Girls Enr.to Boys: Primary,0.91,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96
Ratio of Girls Enr.to Boys: U.Primary,0.95,0.96,0.96,0.97,0.97,0.96,0.96,0.96,0.97,0.97
% SC Enrolment: Classes I-VIII,19.2,19.5,20.0,19.6,19.7,19.5,17.9,18.7,18.8,18.7
% ST Enrolment: C41la.4sses  I-VIII,38.7,39.0,39.6,40.2,39.7,38.5,39.4,38.6,38.5,38.6
% OBC Enrolment: Primary Level,14.9,15.8,15.9,15.5,16.3,16.6,16.1,16.6,16.6,16.6
% OBC Enrolment:U.Primary Level,22.0,22.2,21.9,21.3,20.8,20.1,19.2,19.6,19.3,19.2
% Muslim Enrolme4n4t:. 5Primary Level,-,7.5,7.8,9.2,9.8,11.9,12.9,13.3,13.4,12.8
% Muslim En1r7o.l5ment: U. Primary Level,-,6.7,7.6,9.2,10.1,11.1,10.9,10.7,10.5,10.5
Ratio of Grade V to I,71,81.0,100.0,93.0,95.0,93.0,95.0,-,-,-
Avg. Repetition Rate: Primary Level,15.3,4.7,4.4,2.5,2.9,1.6,0.9,0.7,0.9,0.8
Avg.Repetition Rate: U.Primary Level,-,10.5,9.1,9.3,7.6,0.7,0.3,0.5,0.4,0.9
Avg. Drop-out Rate4: 4P.8rimary Level,4.1,11.7,2.7,8.8,11.9,6.2,1.14,.12.2,3.6,1.3
Retention Rate: Primary Level,-,75.2,73.5,71.5,66.6,70.4,80.7,80.0,92.5,95.3
Transition Rate: Primary to U.Primary,-,84.3,88.7,85.1,84.7,91.0,94.3,92.1,90.2,91.3
Student-Classroom Ratio,38,29,28,27.0,25,26,26,26,23,23
% Schools with Drinking Water,73.8,76.9,77.8,79.4,82.4,7250.14,1485.7,84.5,89.0,89.8
% Schools with Common Toilet,63.8,69.1,70.5,57.7,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,13.9,19.5,77.7,33.8x,94.2x,100.0x,99.7
% Schools with Girls' Toilet,18.0,22.6,26.6,42.3,43.4,5210.12,15 86.5x,86.8x,99.4x,99.9
% Schools with Boundarywall,14.5,15.8,14.8,12.9,13.2,13.8,18.2,16.9,19.7,19.7
% School with Playground Facility,-,-,-,58.6,62.6,6200.13,1660.2,57.9,61.4,62.0
% Schools with Ramp,24.0,46.7,50.7,56.0,57.2,56.3,76.2**,48.6**,60.7**,79.4**
% Schools havining Electricity,-,-,12.6,13.2,14.3,15.8,19.8,23.4,28.6,29.8
% Schools with Computer,6.9,7.9,8.7,9.0,11.7,11.6,12.7,11.4,15.1,15.7
% Schools Providing Mid-day Meal*,-,-,-,97.3,98.4,99.4,97.9,99.0,99.2,99.1
Number of Districts C5o.3vered,4,4.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0
Total Schools,,,,,,,,,,
11.5,3548,3901.0,3905.0,4303.0,4386.0,4503.0,4745.0,4800.0,4818.0,4844.0
Total Government Schools,-,3739.0,3742.0,4143.0,4217.0,4275.0,4411.0,4323.0,4326.0,4322.0
Total Private Schools,-,162.0,163.0,160.0,169.0,228.0,274.0,286.0,300.0,335.0
Ratio of Primary to U.PrimarySc9h.7./Sec.,2.1,2.2,2.1,2.2,2.1,2.0,2.1,2.1,2.1,2.1
Primary Sch./Sec.per 1000 Child Popln.,9,11.0,8.0,13.0,15.0,14.0,15.0,14.0,14.0,14.0
U.Prim. Sch./Sec.per 1000 Child Popln.,7,8.0,12.0,9.0,9.0,10.0,10.0,13.0,13.0,14.0
% Single-Teacher Schools with Enr.≥15,1.4,0.8,0.9,1.0,0.8,1.4,1.2,1.7,0.8,0.2
% Enrolment in Single-Teacher Schools,0.5,0.4,0.5,0.5,0.4,0.5,0.4,0.6,0.3,0.1
% Schools with Enr4o.l8ment ≤ 50,15.5,21.1,21.5,29.5,31.7,34.9,36.1,37.5,39.4,40.5
% Schools with Fem4a.7le Teachers,52.5,52.8,53.8,54.2,60.5,61.0,61.7,62.2,63.8,63.8
