indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts 4C.0overed,70,70.0,70.0,71.0,71.0,72.0,75.0,75.0,75.0,75.0
Total Schools6.0,161869,180058.0,186741.0,195089.0,201475.0,221653.0,239817.0,240332.0,243014.0,245919.0
Total Government Schools,-,135484.0,140219.0,147042.0,151465.0,154668.0,163078.0,160752.0,160942.0,161329.0
Total Private Schools,-,44485.0,46474.0,48019.0,49548.0,65713.0,73656.0,74897.0,78094.0,80385.0
Ratio of Primary to U.Prim6a.0rySch./Sec.,3.0,2.6,2.4,2.3,2.1,2.1,2.0,1.9,1.9,1.9
Primary Sch./Sec.per 1000 Child Popln.,6,6.0,4.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0
U.Prim. Sch./Sec.per 1000 Child Popln.,3,4.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0
% Single-Teacher Schools with Enr.≥15,7.2,5.5,6.9,7.2,8.0,8.6,12.7,8.8,8.7,8.1
% Enrolment in Single-Teacher Schools,4.4,3.3,4.1,4.2,4.6,6.6,6.4,6.6,6.3,6.7
% Schools with Enrolm4.8ent ≤ 50,9.1,9.3,10.5,12.1,12.2,12.7,16.1,16.2,15.8,16.0
% Schools with Fema4.le3 Teachers,64.2,73.5,75.6,77.8,78.2,78.2,78.3,77.9,76.8,75.1
