"School Indicators4.5",2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts 4C.0overed,70,70,70,71,71,72,75,75,75,75
"Total Schools6.0",161869,180058,186741,195089,201475,221653,239817,240332,243014,245919
Total Government Schools,-,135484,140219,147042,151465,154668,163078,160752,160942,161329
Total Private Schools,-,44485,46474,48019,49548,65713,73656,74897,78094,80385
Ratio of Primary to U.Prim6a.0rySch./Sec.,3.0,2.6,2.4,2.3,2.1,2.1,2.0,1.9,1.9,1.9
Primary Sch./Sec.per 1000 Child Popln.,6,6,4,6,6,7,7,6,6,6
U.Prim. Sch./Sec.per 1000 Child Popln.,3,4,6,5,5,6,6,6,6,6
"% Single-Teacher Schools with Enr.≥15",7.2,5.5,6.9,7.2,8.0,8.6,12.7,8.8,8.7,8.1
"% Enrolment in Single-Teacher Schools",4.4,3.3,4.1,4.2,4.6,6.6,6.4,6.6,6.3,6.7
"% Schools with Enrolm4.8ent ≤ 50",9.1,9.3,10.5,12.1,12.2,12.7,16.1,16.2,15.8,16.0
"% Schools with Fema4.le3 Teachers",64.2,73.5,75.6,77.8,78.2,78.2,78.3,77.9,76.8,75.1
