Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,24342931,25101907,24943369,23933247,24043102,26188803,26671203,25941586,25806929,25270348
Enrolment: Classes VI-VIII,5831921,6974476,7414932,7604400,7975985,9215942,10427087,10784914,11031791,11155285
"Enrolment: Classes I-V, Government",-,18590177,17466598,15840012,15430350,15049324,14159320,13523506,13070057,12744955
"Enrolment:Classes VI-VIII,G8o4v.6ernment",-,3918641,4021055,4052960,4259229,4494100,4460533,4188647,4026868,3857774
"Enrolment: Class3e3s.7 I-V, Private",-,6511730,7476771,8093235,8534809,10882447,11937930,11694774,11992756,11762789
"Enrolment: Classes VI-VIII, Private",-,3055835,3393877,3551440,3702551,4658110,5864099,6365946,6847725,7114078
"% Girls Enrolment: Primary8 L4e.0vel",47.8,49.2,49.4,49.5,49.4,48.7,48.8,48.6,48.8,48.8
"% Girls Enrolme3n4t:. 0U.Primary Level",45.3,48.5,49.2,50.1,50.6,50.4,50.6,50.1,50.0,49.9
Ratio of Girls Enr.to Boys: Primary,0.91,0.97,0.98,0.98,0.98,0.95,0.95,0.95,0.95,0.95
Ratio of Girls Enr.to Boys: U.Primary,0.83,0.94,0.97,1.00,1.03,1.02,1.02,1.00,1.00,0.99
"% SC Enrolment: Classes I-VIII",27.7,27.3,27.0,27.2,27.9,26.9,27.7,27.5,28.2,28.1
"% ST Enrolment: Classes  8I-0V.4III",0.7,0.6,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.8
"% OBC Enrolment: Primary Le1v00e.l0",47.7,50.5,49.9,50.8,49.7,50.3,50.2,51.3,51.4,52.2
"% OBC Enrolment:U.Primary Level",44.1,47.8,49.0,50.5,50.3,51.4,50.6,51.1,50.7,50.5
"% Muslim Enrolment: Prim7a5.r1y Level",-,9.3,9.6,10.3,10.4,10.2,14.1,14.7,14.0,13.3
"% Muslim Enrolm33e.6nt: U. Primary Level",-,7.3,7.6,8.2,8.1,8.1,10.8,11.8,11.6,10.9
Ratio of Grade V to I,62,73,81,80,85,83,79,82,87,86
Avg. Repetition Rate: Primary Level,1.8,1.4,1.1,0.6,2.0,1.6,1.3,0.6,0.6,0.3
Avg.Repetition Rate: U.Primary Level,-,0.7,0.8,0.4,2.2,1.8,1.7,0.9,0.7,0.4
Avg. Drop-out Rate: Prima7r7y. 2Level,11.5,16.2,12.7,16.7,11.1,11.9,109.74.1,10.3,7.1,8.6
Retention Rate: Primary Level,-,74.4,74.0,69.6,69.9,80.4,87.4,87.8,90.1,81.0
Transition Rate: Primary to U.Primary,-,62.8,63.6,61.5,64.9,72.0,74.0,76.9,78.5,79.1
