Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),527035,644426,651338,697890,728755,802442,953808,974120,1009333,1018912
"% Teachers: Government",-,69.4,67.5,67.7,67.4,63.4,57.8,55.1,53.4,52.0
"% Teachers: Private Aided",-,5.2,5.6,5.5,5.5,5.2,8.9,9.2,8.6,8.1
"% Teachers: Private Unaided",-,25.4,26.9,26.8,26.8,30.7,31.3,33.7,36.1,37.9
Pupil-Teacher Ratio: Elementary,57,50,50,45,44,44,39,38,36,36
"% Female Teachers",32.4,36.3,37.5,39.1,39.6,40.1,38.0,38.0,39.1,39.9
"% SC Teachers",-,14.1,14.2,14.6,15.0,15.0,14.1,14.4,14.7,14.6
"% ST Teachers",-,0.8,0.8,0.8,0.9,1.0,1.0,1.0,1.0,1.0
"% OBC Teachers",-,36.5,37.2,37.7,38.1,38.2,36.6,38.1,38.9,39.4
"% Teachers Recieved in-Service Training",22.4,15.0,15.9,14.0,12.0,11.0,13.1,10.5,9.9,2.1
"% Contract Teachers to Total Teachers",18.2,25.9,26.3,25.1,24.1,22.2,-,-,16.5,10.5
