Facility Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,20112-0112,210312-13,2013-14,2014-15,2015-16,
Student-Classroom Ratio,22,20,20,19,19,19,19,19,18,18,
"% Schools with Drinking Water",75.4,87.0,87.2,89.6,93.0,9250.16,1495.6,95.8,95.4,96.5,
"% Schools with Common Toilet",67.6,84.5,85.6,59.6,-,-,-,-,-,-,
"% Schools with Boys' Toilet",-,-,-,32.9,40.0,93.2,61.6x,99.3x,99.1x,97.5,
"% Schools with Girls' Toilet",41.6,52.1,52.2,58.3,52.1,7270.16,15 93.6x,92.4x,94.3x,97.2,
"% Schools with Boundarywall",51.8,70.9,75.8,77.6,79.6,81.0,80.1,80.5,82.5,82.1,
"% School with Playground Facility",-,-,-,62.7,57.6,5260.19,1657.2,57.3,58.6,58.2,
"% Schools with Ramp",6.0,29.3,33.7,35.0,36.7,43.5,80.0**,81.9**,84.6**,84.6**,
"% Schools havining Electricity",-,-,32.6,36.2,40.8,53.6,61.0,65.3,77.2,78.8,
"% Schools with Computer",14.2,22.6,22.3,24.1,25.1,29.5,31.1,32.0,33.0,33.4,
"% Schools Providing Mid-day Meal*",-,-,-,95.1,95.0,97.3,97.5,97.9,98.1,98.3,
