Teachers Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),51507,60427,65531,68605,72668,74498,93383,98224,101847,109374
"% Teachers: Government",-,73.6,67.9,65.7,62.6,59.4,61.7,61.8,60.6,59.8
"% Teachers: Private Aided",-,5.1,4.4,3.9,3.9,3.9,4.3,4.6,4.3,4.1
"% Teachers: Private Unaided",-,21.3,27.7,30.5,31.0,34.2,32.7,32.4,33.6,34.5
Pupil-Teacher Ratio: Elementary,26,25,24,23,23,22,18,17,17,16
"% Female Teachers",45.2,46.2,46.4,47.2,47.7,49.1,45.3,45.9,46.6,47.2
"% SC Teachers",-,11.3,11.3,11.1,11.4,11.2,11.2,11.9,12.1,12.5
"% ST Teachers",-,2.8,2.8,2.7,2.6,2.7,2.7,2.9,3.0,3.0
"% OBC Teachers",-,13.7,14.6,14.9,15.1,15.5,13.7,14.2,14.3,14.6
"% Teachers Recieved in-Service Training",46.3,43.6,51.9,48.3,54.3,50.3,30.9,24.5,23.0,19.2
