indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts 4C.0overed,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0
Total Schools5.7,59223,70010.0,70771.0,88556.0,90187.0,92066.0,94572.0,94958.0,95572.0,95723.0
Total Government Schools,-,57461.0,57344.0,77181.0,79119.0,81363.0,82259.0,81915.0,82444.0,82737.0
Total Private Schools,-,12523.0,13427.0,11362.0,8708.0,8273.0,9445.0,9657.0,9725.0,9754.0
Ratio of Primary to U.P5r.i0marySch./Sec.,5.3,5.6,5.5,5.5,5.1,4.7,4.5,4.4,4.3,4.2
Primary Sch./Sec.per 1000 Child Popln.,6,7.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
U.Prim. Sch./Sec.per 1000 Child Popln.,2,2.0,8.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
% Single-Teacher Schools with Enr.≥15,4.9,3.1,4.0,5.5,2.6,2.7,3.3,3.2,2.6,3.0
% Enrolment in Single-Teacher Schools,2.1,1.2,1.5,2.3,1.0,1.0,1.1,1.3,1.0,1.1
% Schools with Enro4l.m3 ent ≤ 50,8.8,15.3,18.4,15.8,18.5,19.8,23.0,30.4,32.6,33.3
% Schools with Fem4a.1le Teachers,52.8,68.5,70.4,73.0,74.1,75.0,74.8,75.0,75.0,75.0
