School Indicators 4.2,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Number of Districts 4C.0overed,20,20,20,20,20,20,20,20,21,21,
"Total Schools5.7",59223,70010,70771,88556,90187,92066,94572,94958,95572,95723,
Total Government Schools,-,57461,57344,77181,79119,81363,82259,81915,82444,82737,
Total Private Schools,-,12523,13427,11362,8708,8273,9445,9657,9725,9754,
Ratio of Primary to U.P5r.i0marySch./Sec.,5.3,5.6,5.5,5.5,5.1,4.7,4.5,4.4,4.3,4.2,
Primary Sch./Sec.per 1000 Child Popln.,6,7,2,10,10,10,10,10,10,10,
U.Prim. Sch./Sec.per 1000 Child Popln.,2,2,8,3,3,3,3,4,4,4,
"% Single-Teacher Schools with Enr.≥15",4.9,3.1,4.0,5.5,2.6,2.7,3.3,3.2,2.6,3.0,
"% Enrolment in Single-Teacher Schools",2.1,1.2,1.5,2.3,1.0,1.0,1.1,1.3,1.0,1.1,
"% Schools with Enro4l.m3 ent ≤ 50",8.8,15.3,18.4,15.8,18.5,19.8,23.0,30.4,32.6,33.3,
"% Schools with Fem4a.1le Teachers",52.8,68.5,70.4,73.0,74.1,75.0,74.8,75.0,75.0,75.0,
